customerID,gender,SeniorCitizen,Partner,Dependents,tenure,PhoneService,InternetService,Contract,PaymentMethod,MonthlyCharges,TotalCharges,Churn
XQZDLAUS,Female,1,No,No,59,Yes,No,One year,Electronic check,55.7,272.64,Yes
URC5JOED,Female,0,No,Yes,65,Yes,No,One year,Mailed check,51.59,3277.44,No
1DOQCJWR,Male,1,No,No,68,Yes,Fiber optic,One year,Mailed check,61.2,3593.81,No
A84ACCS2,Male,1,Yes,No,28,No,DSL,One year,Credit card (automatic),76.31,3159.89,No
Y692ZDN0,Female,0,No,No,18,Yes,Fiber optic,One year,Bank transfer (automatic),110.09,3561.2,No
6VCWUWDU,Male,0,No,No,26,Yes,Fiber optic,Two year,Credit card (automatic),58.24,6832.66,No
4UZ8XK2C,Male,1,Yes,No,19,Yes,Fiber optic,Month-to-month,Bank transfer (automatic),118.08,1386.88,No
ASVNNP6M,Male,0,Yes,Yes,55,Yes,No,Month-to-month,Credit card (automatic),95.42,521.74,Yes
L662EF4P,Male,0,No,Yes,57,Yes,No,One year,Mailed check,70.17,1931.81,No
4Y6MJXJ4,Female,0,Yes,Yes,6,Yes,Fiber optic,Two year,Credit card (automatic),83.69,4038.73,No
MC71SW5M,Male,0,No,No,1,Yes,DSL,Month-to-month,Credit card (automatic),28.43,3509.09,No
676ECGXV,Female,0,No,No,8,Yes,Fiber optic,Month-to-month,Bank transfer (automatic),104.14,3182.95,No
W3R5G6E1,Female,0,Yes,No,51,Yes,Fiber optic,Month-to-month,Mailed check,70.08453608247423,1460.53,No
HOD7E6E7,Male,0,Yes,No,25,Yes,Fiber optic,Month-to-month,Bank transfer (automatic),118.58,3131.52,Yes
ZADZ66HT,Female,0,No,Yes,47,Yes,Fiber optic,Two year,Credit card (automatic),82.92,2563.19,Yes
PUZWR4LA,Female,0,Yes,No,55,Yes,Fiber optic,One year,Electronic check,103.08,2587.04,No
ICZIPXNC,Male,0,No,No,64,Yes,DSL,One year,Credit card (automatic),99.58,6041.63,No
76XIMBGU,Female,0,No,No,10,Yes,DSL,One year,Credit card (automatic),53.24,2636.94,Yes
SYVK65UT,Female,1,No,No,56,Yes,Fiber optic,One year,Bank transfer (automatic),44.48,2563.19,No
HIYY6BST,Female,0,Yes,No,12,Yes,DSL,Month-to-month,Electronic check,61.91,5032.82,Yes
2FQYD3TC,Female,0,No,No,33,Yes,DSL,Month-to-month,Electronic check,65.66,3866.86,No
WRZ9HQ46,Female,0,No,No,71,Yes,DSL,Month-to-month,Bank transfer (automatic),42.49,1294.94,No
0DVZ5X85,Female,0,No,Yes,17,Yes,Fiber optic,Month-to-month,Mailed check,109.25,3399.96,No
G64LKXH5,Female,0,Yes,Yes,61,Yes,DSL,Month-to-month,Electronic check,73.34,2601.79,No
V7STN6JP,Female,1,No,No,10,Yes,No,Month-to-month,Electronic check,117.8,8084.69,Yes
D01P6SUV,Male,0,No,No,31,Yes,Fiber optic,Month-to-month,Bank transfer (automatic),100.62,3661.94,No
III0QHPR,Male,1,No,No,60,Yes,Fiber optic,Month-to-month,Mailed check,74.68,3698.78,No
6ALFEPRR,Male,0,Yes,No,70,No,Fiber optic,One year,Mailed check,70.08453608247423,3187.67,No
ASHCYESR,Female,0,No,No,17,Yes,DSL,Month-to-month,Credit card (automatic),69.5,1815.31,Yes
46RPPGNY,Female,0,No,Yes,50,Yes,Fiber optic,Two year,Credit card (automatic),108.48,1282.24,No
5VP2PLQ0,Female,1,Yes,No,37,Yes,No,Month-to-month,Bank transfer (automatic),54.53,1815.98,Yes
YMHELC86,Male,0,Yes,No,62,Yes,Fiber optic,One year,Mailed check,56.62,2386.71,No
VIR209Q7,Male,0,No,Yes,72,Yes,No,Two year,Bank transfer (automatic),60.65,749.74,No
CENCW3W0,Male,1,No,No,29,Yes,Fiber optic,Two year,Credit card (automatic),73.76,2220.35,No
JYMP7VQW,Female,0,No,No,32,Yes,DSL,Two year,Bank transfer (automatic),74.46,2608.15,No
9IB5VMHA,Male,0,Yes,No,11,Yes,DSL,Month-to-month,Bank transfer (automatic),68.63,1106.85,No
QLDM4GWX,Male,1,Yes,No,6,Yes,Fiber optic,Month-to-month,Electronic check,49.21,2730.43,No
EEQ3IFYS,Female,0,No,No,35,No,Fiber optic,Month-to-month,Electronic check,112.58,1012.18,No
PUBJPOMM,Male,0,Yes,No,33,Yes,DSL,Month-to-month,Electronic check,78.04,1900.25,No
5HR9ZJ46,Female,0,No,No,18,Yes,No,Month-to-month,Credit card (automatic),59.59,3034.66,No
2EMAWCCG,Male,0,No,No,37,Yes,Fiber optic,Two year,Bank transfer (automatic),84.42,4838.1,No
98OC23RK,Female,0,Yes,Yes,13,Yes,DSL,One year,Electronic check,96.33,1722.53,No
A2J14SC9,Female,0,No,No,64,Yes,No,One year,Electronic check,115.99,144.21,No
O6ZP96TM,Female,0,Yes,Yes,1,Yes,No,Two year,Electronic check,68.95,1930.28,Yes
6EN0WNDS,Female,0,Yes,Yes,63,Yes,Fiber optic,One year,Credit card (automatic),29.43,5001.29,No
D3S44IMN,Female,1,No,No,34,Yes,No,One year,Credit card (automatic),70.08453608247423,2563.19,No
J4W0FZBM,Female,1,Yes,Yes,10,Yes,No,One year,Bank transfer (automatic),66.85,1141.13,No
SA5V2BKQ,Female,0,No,No,7,No,Fiber optic,Month-to-month,Bank transfer (automatic),109.49,1287.6,No
HVDKHIZB,Female,0,Yes,Yes,56,Yes,DSL,Month-to-month,Bank transfer (automatic),58.27,2563.19,No
P4FUZS1H,Female,1,No,No,37,Yes,DSL,Two year,Electronic check,115.24,1932.98,No
NXZ45BYB,Female,0,No,Yes,29,Yes,Fiber optic,Two year,Mailed check,67.48,5052.51,No
A9LI916V,Male,0,No,Yes,12,No,DSL,Two year,Credit card (automatic),117.33,424.17,No
YRFRPOHM,Female,1,Yes,Yes,17,Yes,No,Month-to-month,Electronic check,18.84,5534.64,Yes
GQ5VMW2V,Male,0,No,No,48,Yes,Fiber optic,Two year,Electronic check,109.68,638.98,Yes
A2E8JSG8,Female,0,Yes,No,26,No,Fiber optic,Month-to-month,Bank transfer (automatic),112.97,333.04,No
MJBFH9YG,Female,0,Yes,Yes,12,No,No,Month-to-month,Bank transfer (automatic),116.02,2919.62,No
WSVMUAS6,Male,0,Yes,No,21,Yes,No,Month-to-month,Electronic check,19.33,1250.41,Yes
DC081FFW,Male,0,Yes,No,42,Yes,DSL,Month-to-month,Credit card (automatic),35.51,160.61,Yes
6PXEMLE4,Male,0,Yes,No,61,Yes,DSL,Month-to-month,Credit card (automatic),84.68,1847.55,No
113R08ZR,Female,0,No,No,58,Yes,Fiber optic,Month-to-month,Electronic check,20.6,1063.47,No
6Y4B65RQ,Male,0,Yes,No,54,Yes,Fiber optic,Month-to-month,Mailed check,24.49,7025.74,Yes
7G83L8KD,Female,0,No,Yes,34,Yes,Fiber optic,Month-to-month,Mailed check,40.55,4158.49,No
Y5T4DACV,Male,0,No,No,7,Yes,Fiber optic,One year,Credit card (automatic),70.27,4458.72,No
